id,date,tradeName,legalName,city,areaWithInCity,landlineNumber,mobileNumber,contactPerson,website,socialMediaLinks,about,about_us,logo,likes,tradeLicense,listingAgreement,featured,createdAt,updatedAt,userId
00758a7a-6547-4b2b-bfa7-f37ca9f41e04,2021-05-22T19:25:56.010Z,Al Arshad Furniture,Al Arshad Furniture,Abu Dhabi,Musaffah Shabiya ME 10,97125527763,971509065937,Naeem,"","""{}""",Please fill me,Please fill me,1621713611359.jpg,0,"","",false,2021-05-22 20:00:11.767000,2021-05-22 20:00:11.000000,07336b61-138a-4292-9323-a12bd222a120
0077fd4e-9d74-4cbc-8460-f1d9c04bcf07,2021-03-18T14:50:13.096Z,Yellow Diamond,Yellow Diamond Building Material Tr. LLC,Sharjah,Industrial Area 4,97100000000,971567142814,Johar Soofi,"","""{\""facebook\"":\""https://www.facebook.com/Yellow-Diamond-Build-Mat-Tr-LLC-111193174524193/\"",\""youtube\"":\""https://www.instagram.com/yellowdiamond.build/?fbclid=IwAR0COyvfgZJXo8vCewYfhmlW0kpsfbgewHTMqeeS1v8NfXC_1cfrLc9cJpg\""}""","Located Industrial Area 4, Sharjah, UAE, Yellow Diamond is one of the leading suppliers of Ceramic tiles and sanitary ware. We are convinced that our success is achieved from the maximum product value and the efficient customer service that we offer. You can visit our shop during weekdays to discover or vast collection of quality products.","Located Industrial Area 4, Sharjah, UAE, Yellow Diamond is one of the leading suppliers of Ceramic tiles and sanitary ware. We are convinced that our success is achieved from the maximum product value and the efficient customer service that we offer. You can visit our shop during weekdays to discover or vast collection of quality products.",1616079566201.jpg,0,"","",false,2021-02-27 08:56:15.367000,2021-08-31 20:52:59.000000,91e822d3-c362-420b-8d47-5c1c69a6a4d0
010b4330-afb7-441a-a076-77b6340e8768,2021-01-27T18:47:21.636Z,Builder Choice Lighting,Builder Choice Lighting,Abu Dhabi,Khalidiyah,97126768664,971551832577,Abdul Jabbar,"","""{\""location\"":\""https://goo.gl/maps/6anLHMnZzuLqj5oM8\""}""","Come and visit our store in Abu Dhabi, UAE, for the best prices & best service. We provide all kinds of electrical items, lighting, plumbing tools, mechanical items, sanitaryware, paints, hardware items tools, and locks.","Come and visit our store in Abu Dhabi, UAE, for the best prices & best service. We provide all kinds of electrical items, lighting, plumbing tools, mechanical items, sanitaryware, paints, hardware items tools, and locks.",1611775450315.jpg,2,"","",false,2021-02-27 08:56:15.367000,2021-09-19 20:41:11.000000,7425d9df-f3f1-4857-a5ad-f43566343ae1
012581dd-2e54-47df-86df-65f70a1a386c,2020-11-26T20:00:00.000Z,Verroli,Verroli Building Materials Trading LLC,Dubai,Al Warsan 3,97142583640,971502345725,"",https://www.verroli.ae/,"""{\""location\"":\""https://g.page/Verroli?share\""}""","Verroli is the newest addition to our well-known group which includes Uniflo – Al Shihhe Industry, Build Well Plastics Industry and Special Blends. We, at Verroli promise and deliver our customers with high quality of construction and building materials, which are made in the UAE like all our products. Through our strong technical force and excellent facilities, we assure our quality as reliable and consistent. We focus in continuously advancing the standards of quality, functionality and design.","Verroli is the newest addition to our well-known group which includes Uniflo – Al Shihhe Industry, Build Well Plastics Industry and Special Blends. We, at Verroli promise and deliver our customers with high quality of construction and building materials, which are made in the UAE like all our products. Through our strong technical force and excellent facilities, we assure our quality as reliable and consistent. We focus in continuously advancing the standards of quality, functionality and design.",1611608964239.jpg,0,"","",false,2021-02-27 08:56:15.367000,2021-07-21 15:41:28.000000,85ed4206-d17c-4ff5-ab80-fad004fcc0ec
01854c70-1f15-4374-8079-027d94f5924b,2021-01-27T09:05:08.352Z,Al Jazeera Factory,Al Jazeera Factory For Construction Materials,Abu Dhabi,Mafraq Industrial area,97125822768,971504440726,Majed,http://aljazeerafactory.com/en/home.aspx,"""{\""facebook\"":\""https://www.facebook.com/Aljazeerafactoryforconstmaterials?ref=bookmarks\"",\""location\"":\""https://goo.gl/maps/2ocXtEU4JL85DTPT7\""}""","Al Jazeera Factory, the pioneer of AAC products in UAE, started its saga in 1990 with an innovative
product Autoclave Aerated Concrete (AAC) Thermalite Blocks.The product was so apt for the
climatic conditions of the region that its characteristics and ad","Al Jazeera Factory, the pioneer of AAC products in UAE, started its saga in 1990 with an innovative
product Autoclave Aerated Concrete (AAC) Thermalite Blocks.The product was so apt for the
climatic conditions of the region that its characteristics and advantages helped us to establish a very
popular market in a very short time.",1611741628713.jpeg,0,"","",false,2021-02-27 08:56:15.367000,2021-02-27 08:56:15.367000,b9e1bc56-e673-4b01-bd28-c5b4a62aba1a
01dd5104-b8bb-4b38-9d59-45309de0db44,2021-02-14T17:42:21.568Z,Simba,Simba Shopping MEA Trading LLC,Dubai,DMCC,97100000000,971508684571,Claudio,http://www.simbashoppingmea.com/,"""{\""facebook\"":\""https://www.facebook.com/simbashoppingmea/\"",\""youtube\"":\""https://www.instagram.com/simbashopping_mea/\"",\""location\"":\""https://goo.gl/maps/UWvYKykfSGsBUTHb8\""}""","Welcome to our online store in Dubai, Simbashoppingmea.com: We will bring our products, expertise and quality of service to the UAE and the Gulf Countries!

SimbashoppingMEA is an online store that sells all you need for your well-being: bathroom furnishing, hot tubs, pool tables and indoor games.

We curate a selection of products focused on quality, minimalism, and functionality. Our mission is to provide a unique set of products that fascinate and inspire our customers. Our luxury selection will satisfy your well-being, beautify your home and allow you to relax and feel good.

We will provide the product purchased directly to your home!","Welcome to our online store in Dubai, Simbashoppingmea.com: We will bring our products, expertise and quality of service to the UAE and the Gulf Countries!

SimbashoppingMEA is an online store that sells all you need for your well-being: bathroom furnishing, hot tubs, pool tables and indoor games.

We curate a selection of products focused on quality, minimalism, and functionality. Our mission is to provide a unique set of products that fascinate and inspire our customers. Our luxury selection will satisfy your well-being, beautify your home and allow you to relax and feel good.

We will provide the product purchased directly to your home!",1613326017364.jpg,0,"","",false,2021-02-27 08:56:15.367000,2021-05-14 18:48:35.000000,b084d635-eaa9-49a4-a3fa-62ce23825e78
01fb3c40-02cb-4bfc-a5d9-93845551d6ba,2021-02-15T19:51:30.214Z,Elegant UAE (Dubai),Elegant Kitchen Equipment Trading LLC,Dubai,Deira,97142599582,971551052563,Rohit,http://www.elegantuae.com/,"""{\""facebook\"":\""https://www.facebook.com/people/Elegant-Kitchen/100007181475578/\"",\""location\"":\""https://goo.gl/maps/DcRKhLuthih6D67x7\""}""","Elegant Hotels & Bakeries kitchen devices lnd.l.l.c is the result of a vision to develop a reputed ,reliable one stop shop for the supply of kitchen/display Equipments which are customized to the requirement of restaurants,hotels,bakeries,supermarket,hospitals, Trading, Hand Railing, S.S.Cladding, Garbage Chute Fabrication and Installation etc.the quality and after sales service is integral part of the product when you come to elegant hotels& bakeries kitchens devices lnd.L.L.C","Elegant Hotels & Bakeries kitchen devices lnd.l.l.c is the result of a vision to develop a reputed ,reliable one stop shop for the supply of kitchen/display Equipments which are customized to the requirement of restaurants,hotels,bakeries,supermarket,hospitals, Trading, Hand Railing, S.S.Cladding, Garbage Chute Fabrication and Installation etc.the quality and after sales service is integral part of the product when you come to elegant hotels& bakeries kitchens devices lnd.L.L.C",1613343284406.jpg,0,"","",false,2021-02-27 08:56:15.367000,2021-05-14 10:31:51.000000,340ebcf6-f65d-4a0d-baf5-e9713427145f
02367aec-2855-4256-b23c-e98725a236f1,2021-03-17T14:15:21.845Z,Rathath Al Matar,Rathath Al Matar Building Material Tr. LLC,Sharjah,Industrial Area 4,97100000000,971558918333,Shamim Chowdhury,"","""{}""",Please fill me,Please fill me,1615991289839.jpeg,0,"","",false,2021-02-27 08:56:15.367000,2021-02-27 08:56:15.367000,12dc9cfa-6c3f-46e2-96bf-b7fdc6595104
024a7a44-2edf-41bf-a3be-91e00a1e8752,2021-02-11T13:03:28.075Z,Home Land,Home Land L.L.C,RAK,Al Nakheel,97172272279,971506473688,Majdi,"","""{}""",Please fill me,Please fill me,1613048700204.jpg,0,"","",false,2021-02-27 08:56:15.367000,2021-02-27 08:56:15.367000,b24fb007-98e7-4285-8ab0-8f110b07aa13
02a6d7f7-0cd1-4043-920e-90b98805913c,2021-01-25T10:56:44.801Z,Startal,Startal Aluminium for Kitchens,Abu Dhabi,Al Ain city,97100000000,971582221640,Mahmoud,"","""{\""location\"":\""https://goo.gl/maps/rnueWN61v5rgN9PC9\""}""",Startal Aluminium for Kitchens is a mainline kitchen cabinet manufacturer in the UAE. We offer the most affordable and attractive designs for your aluminium cabinets.,Startal Aluminium for Kitchens is a mainline kitchen cabinet manufacturer in the UAE. We offer the most affordable and attractive designs for your aluminium cabinets.,1611657576505.jpeg,0,"","",false,2021-02-27 08:56:15.367000,2021-02-27 08:56:15.367000,c8badeb8-da3e-421a-a456-78b130a9cfc8
